country,fund_name,fund_manager,financial_product,target_area,support_type,sector_focus,commitment_eur,currency,address,website
Netherlands,pital Agri Food Fund,,EIF C&E Solutions,"Agriculture, Food, natural capital preservation and use of land resources;Blue Economy;Other adaptation solutions",Venture Capital,h e m i c a ls a nd,35000000.0,EUR,Minervalaan 63,https://conventcapital.nl/en/
Netherlands,Future Food Fund II,FFF Management B.V.,EIF C&E Solutions,"Agriculture, Food, natural capital preservation and use of land resources",Venture Capital,and,12500000.0,EUR,Benoordenhoutseweg 43,https://futurefoodfund.nl/
Netherlands,Minder Fund II COÖPERATIEF,GapMinder Ventures BV,,Other Digital,Venture Capital,,15000000.0,EUR,"Amstelplein 1, 24th Floor,",https://gapminder.vc/
Netherlands,Karmijn Kapitaal Fund III,jn Ka taal,EIF CMU,Growth and expansion,Private Equity,Generalist,15000000.0,EUR,Koningin Wilhelminaplein 56,www.karmijnkapitaal.nl
Netherlands,phosis Capital Fund II Coöperatief,orphosis Capital Partners,EIF CMU,Growth and expansion,Private Equity,Generalist,15000000.0,EUR,,
Netherlands,Newion Investments IV C.V.,Newion Partners BV,,,Venture Capital,ICT,25000000.0,EUR,Hullenbergweg 278,http://www.newion-investments.com/
Netherlands,OTB Fund II Cooperatief U.A.,Fund Management,,Artificial Intelligence (AI);Cybersecurity;Other Digital;Space,Venture Capital,ICT,34285714.0,EUR,BASISWEG 10,https://www.otb.vc
Netherlands,OTB Fund II Cooperatief U.A.,Fund Management,EIF Enabling sectors,Artificial Intelligence (AI);Cybersecurity;Other Digital;Space,Venture Capital,ICT,10714286.0,EUR,BASISWEG 10,https://www.otb.vc
Netherlands,Polestar Capital Circular Debt Fund,id it,EIF C&E Solutions,Industrial decarbonisation &amp; environmental sustainability,,,20000000.0,EUR,LAAPERSVELD 68,www.polestarcapital.nl
Netherlands,PureTerra Ventures Cooperatief UA,an agement,EIF C&E Solutions,,Venture Capital,,25000000.0,EUR,,https://pureterra.com/
Poland,Balnord Fund,Balnord Sp. o.o.,EIF Enabling sectors,Defense;Space,Venture Capital,,16500000.0,EUR,472 Aleja Grunwaldzka,https://www.balnord.vc/
Poland,CVI Fund Private Debt Fund II,Dom Maklerski sp.,EIF CMU,Debt and hybrid debt-equity funds,,,31110000.0,EUR,Piekna 24/26A,www.CVI.pl
Poland,Innova SCA SICAV-RAIF,Capital SP. O.O.,EIF CMU,,Private Equity,,26667368.0,EUR,"Rondo ONZ 1, 35th floor",www.innovacap.com
Poland,Innova SCA SICAV-RAIF,Capital SP. O.O.,,,Private Equity,,13332632.0,EUR,"Rondo ONZ 1, 35th floor",www.innovacap.com
Poland,Inovo Fund III SCSp,Inovo Technology sp zoo,,Artificial Intelligence (AI);Cybersecurity;Other Digital,Venture Capital,ICT,25000000.0,EUR,Grzybowska 87,https://inovo.vc/
Poland,Radix Ventures Fund SCSp,Radix Advisors Sp. o.o,EIF Enabling sectors,,Venture Capital,,10510000.0,EUR,Grzybowa 15,http://radix-vc.com/
Poland,ir it Partners Fund SCA,Capital Partners Sp.,EIF CMU,,Private Equity,,9166667.0,EUR,,https://spirecap.eu/
